fid,customer_name,account_site_nbr,state,latitude,longitude,new_tgt_cnt_4mi,new_tgt_cnt_3mi,new_tgt_cnt_2mi
1,Walmart,"46507175",AL,32.462,-86.416,9,9,7
2,Dollar Tree,"64063356",AL,32.464,-86.451,9,5,2
3,Walmart,"2324508",AL,30.267,-87.686,2,2,1
4,Walmart,"6479284",AL,30.268,-87.595,2,2,2
5,Dollar Tree,"7382301",AL,30.268,-87.703,2,1,1
6,Publix,"43250982",AL,30.26985,-87.686537,2,2,1
7,Family Dollar,"5471289",AL,30.27,-87.687,2,2,1
8,Target,"7264924",AL,30.304,-87.68,2,2,1
9,Home Depot,"67237110",AL,30.372,-87.681,8,6,4
10,Walmart,"14646242",AL,30.383,-87.686,8,7,6
11,Dollar Tree,"67382663",AL,30.388,-87.678,8,8,6
12,Family Dollar,"5471231",AL,30.397,-87.683,9,8,6
13,Family Dollar,"6410027",AL,30.407,-87.771,,,
14,Dollar Tree,"10250298",AL,30.411,-87.443,1,1,1
15,Walmart,"5291617",AL,30.524,-87.85,5,5,
16,Walmart,"7953385",AL,30.532,-87.71,2,1,1
17,Dollar Tree,"2678503",AL,30.535,-87.893,6,6,5
18,Publix,"42584357",AL,30.567784,-87.89532,7,1,1
19,Target,"42763680",AL,30.602779,-87.895992,3,2,1
20,Target,"5509165",AL,30.603,-87.896,3,2,1
21,Family Dollar,"6890139",AL,30.62,-87.753,7,6,5
22,Walmart,"14647354",AL,30.625,-87.908,6,4,2
23,Dollar Tree,"7377646",AL,30.629,-87.889,7,4,1
24,Home Depot,"66601606",AL,30.654,-87.901,10,6,5
25,Macy�s,"6514988",AL,30.666,-87.848,4,3,3
26,Dollar Tree,"2920804",AL,30.683,-87.888,9,5,3
27,Family Dollar,"43269361",AL,30.739444,-87.79287,2,2,2
28,Dollar Tree,"1990839",AL,30.881,-87.778,3,3,3
29,Walmart,"65886496",AL,30.886,-87.79,3,3,3
30,Family Dollar,"2606497",FL,30.995,-87.488,1,1,
31,Dollar Tree,"7382334",AL,31.019,-87.49,1,1,1
32,Family Dollar,"5471452",AL,31.023,-87.487,1,1,1
33,Walmart,"7935574",AL,31.037,-87.495,1,1,1
34,Family Dollar,"8412530",AL,31.091,-88.015,,,
35,Family Dollar,"8175764",AL,31.709,-85.612,1,1,1
36,Walmart,"6111516",AL,31.845,-85.168,3,2,
37,Walmart,"25767224",AL,31.877,-85.151,4,4,3
38,Family Dollar,"5471668",AL,31.881,-85.147,4,4,3
39,Dollar Tree,"67264841",AL,31.89,-85.148,4,4,4
40,Dollar Tree,"8260799",AL,32.933,-87.175,1,,
41,Family Dollar,"8396706",AL,32.944,-87.131,1,1,1
42,Walmart,"12971375",AL,32.945,-87.152,1,1,1
43,Walmart,"5364713",AL,32.963,-87.169,1,,
44,Dollar Tree,"6326861",AL,33.772,-86.474,,,
45,Walmart,"3007520",AL,33.774,-86.473,,,
46,Family Dollar,"43222557",AL,33.88420658,-86.767519,2,1,1
